Tit_yo
"« Un accord politique n'est pas nécessairement une condition préalable pour le déploiement de la MMAS », selon Maria Isabel Salvador"
"Stage d'acclimatation pour les petites Grenadières au MexiqueAvant le coup d’envoi de sa première rencontre, prévue le 1er février prochain face au Costa Rica dans le cadre du championnat féminin de la Concacaf qui servira de qualification pour la Coupe du monde, la sélection féminine haïtienne des moins de 17 ans, forte d’une délégation de 25 personnes, laissant Port-au-Prince le lundi 22 janvier dans la matinée, est arrivée dans l’après-midi du même jour au Mexique en vue d’effectuer un stage d’acclimatation."
"Ron DeSantis abandonne la course à la Maison Blanche et soutiendra Trump
Le gouverneur de Floride Ron DeSantis, un temps perçu comme le principal rival de Donald Trump sur sa route vers l'investiture républicaine, a annoncé dimanche jeter l'éponge et se rallier derrière le milliardaire en vue de la présidentielle de novembre."
"« Un accord politique n'est pas nécessairement une condition préalable pour le déploiement de la MMAS », selon Maria Isabel SalvadorL’accord politique souhaité par la communauté internationale depuis l’assassinat de l’ex-président Jovenel Moïse n’est pas obligatoire en vue du déploiement de la Mission multinationale d’appui à la sécurité (MMAS), c’est ce qu’a soutenu Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), à la  réunion du Comité ad hoc consultatif restreint sur la situation en Haïti, le 18 janvier 2024. À cette réunion, Mme Salvador a évoqué la situation de la Police nationale d’Haïti (PNH) et les mises en place à faire en prévision de l’arrivée de la MMAS."
"Sanctions onusiennes: le panel des experts en mission à Port-au-Prince 
Les quatre membres du panel des experts des Nations-Unies sur les sanctions ont séjourné en Haïti cette semaine."
"Augmentation des plaies par balle dans les hôpitauxComme à chaque période de grandes turbulences politiques ces dernières années, les gangs armés ont fait parler la poudre, entraînant une nette augmentation des plaies par balle dans les principaux hôpitaux de l'aire métropolitaine de Port-au-Prince."
"Haïti n'a pas besoin de nouvelles promesses
Les troubles des derniers jours confirment combien la situation en Haïti est explosive."
"Six religieuses de la Congrégation des sœurs de Ste-Anne enlevées à Port-au-Prince
Alors qu’elles se trouvaient dans un autobus, six religieuses de la Congrégation des sœurs de Ste-Anne et d’autres occupants du véhicule ont été enlevées le vendredi 19 janvier à Port-au-Prince."
"Maria Isabel Salvador dresse le portrait des prisons haïtiennes à la réunion de l’Organisation internationale de la francophonieMaria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), a évoqué, à la réunion du Comité ad hoc consultatif restreint sur la situation en Haïti de l’Organisation internationale de la francophonie (OIF), le jeudi 18 janvier 2024, la situation carcérale à l’approche d’un éventuel déploiement de la Mission multinationale d’appui à la sécurité (MMAS). Dans son intervention Mme Salvador a dressé le portrait d’un secteur pénitentiaire en crise et souvent « invisibilisé »."
"La société du Rhum Barbancourt part en guerre contre la contrefaçonSuite à la découverte de plusieurs bouteilles du Rhum Barbancourt trois étoiles issues de la contrefaçon sur le marché, la société du Rhum Barbancourt a présenté, le vendredi 19 janvier 2024, lors d’une conférence de presse, les résultats de ses analyses sur ce produit contrefait qui se relève en dehors des normes et des standards internationaux."
« Haïti-Louisiane: les Marées de la Liberté »
Haïti n'a pas besoin de nouvelles promesses
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province"
Le Collège haïtien de cardiologie appelle à la libération du Dr Douglas Pape
Basket-ball: les perspectives de la FHB pour 2024
"Pas de discussions réelles en vue de la sortie de crise, le Collectif du 30 janvier dénonce une campagne de propagande du pouvoir"
"Des annonces et des promesses pour favoriser une sortie de crise en Haïti, lors de la réunion de l’OIF"
Les États-Unis et le BINUH présentent le bilan de leur participation à la réunion de l’OIF
"Le MENFP s’associe avec des fédérations sportives pour encourager la pratique du sport en milieu scolaireLe ministère de l’Éducation nationale et de la Formation professionnelle (MENFP) a signé trois protocoles d’accord avec les Fédérations haïtiennes de football, de basketball et de volley-ball, le vendredi 19 janvier 2024, au local de l’Inspection générale de l’Éducation nationale, à Musseau. Cette cérémonie, qui s’est déroulée en présence du ministre de l’Éducation nationale, Nesmy Manigat, et de représentants desdites fédérations, rentre dans le cadre des efforts déployés par le MENFP pour valoriser le sport dans les écoles."
"« Haïti-Louisiane: les Marées de la Liberté »Au 113 de la rue Chartres, Nouvelle-Orléans, ce vendredi 12 janvier 2024, les tambours du groupe RAM résonnent."
Lol Fest Caraïbes 2024 vous attend !Le Festival international du rire (LolFestCarïbes) revient en Haïti pour son édition 2024. Il se tiendra à Port-au-Prince du 19 au 21 janvier.
"C’est parti pour la 17e édition du PaPJazzLe festival international de jazz de Port-au-Prince (PaPJazz) a été officiellement lancé le jeudi 18 janvier 2024 par la Fondation Haïti Jazz, son organisateur. Cette grande manifestation culturelle qui se déroulera dans la capitale haïtienne du 25 au 28 janvier sera l’occasion pour des artistes de sept pays différents de faire connaissance avec les amoureux du jazz en Haïti."
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province
Port-au-Prince s’est réveillée sous tension ce jeudi 18 janvier 2024."
"Solidarité en Haïti et dans le monde pour réclamer la libération de Douglas PapeDouglas Pape, le fils du docteur Jean William Pape, enlevé depuis le 28 novembre dernier, est encore aux mains de ses ravisseurs malgré plusieurs rançon versées. De nombreuses voix, en Haïti et à l’étranger ne cessent d’exiger sa libération."
"L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord nationalLa 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti."
"Dans l’attente de la réponse du gouvernement
Plusieurs départements du pays se sont réveillés en effervescence cette semaine."
"Nicolas Delépine: « On est là pour marquer l'histoire »Le sélectionneur national des Grenadières n'a pas caché ses ambitions en conférence de presse d'avant match, vendredi 21 juillet. Nicolas  Delépine a clairement dit qu'il souhaite marquer l'histoire avec les Grenadières en faisant "" une autre première fois "" avec Haïti dans cette phase finale de Coupe du monde."
Solidarité en Haïti et dans le monde pour réclamer la libération de Douglas Pape
Le Collège haïtien de cardiologie appelle à la libération du Dr Douglas Pape
Basket-ball: les perspectives de la FHB pour 2024
Tifane : « Je suis toujours très engagée dans le monde musical »
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national
Les États-Unis et le BINUH présentent le bilan de leur participation à la réunion de l’OIF
Dans l’attente de la réponse du gouvernement
"La péninsule du Sud au bord d’une crise humanitaire, témoignage d’un entrepreneur"
Brèves précisions de l'IHSI autour de l’agrégat « Produit Intérieur Brut »
À la une
À la minute
Éditorial
Le journal
""
""
Culture
Economie
Éditorial
National
Opinions
Société
Sport
Ticket
Contactez nous
Deuils
Petites annonces
Annonces immobilières
Toutes nos archives
RSS
Magik9
Printemps de l'art
Télé 20
Livres en folie
Artisanat en fête
Facebook
Instagram
Twitter
Youtube
Conditions générales d'utilisation
Politique de confidentialité
Conditions générales d'abonnement
L_img_yo
https://cdn.lenouvelliste.com/shared/skeleton-image.webp
https://cdn.lenouvelliste.com/shared/skeleton-image.webp
https://cdn.lenouvelliste.com/shared/skeleton-image.webp
https://cdn.lenouvelliste.com/shared/skeleton-image.webp
https://cdn.lenouvelliste.com/shared/skeleton-image.webp
